source,stream,rxMs,panoX,panoY,correctedPanoY,rawAzimuthDeg,relativeElevationDeg,absoluteElevationDeg,verticalAngularSizeDeg,panoramaAngularWidthDeg,model,fovDeg,principalYpx,focalYpx,axisPitchDeg,calibrationLevel
BW_20260723_165915_8729.jpg,BW,1784797155573,63763,1794.00000000,1794.00000000,350.26062012,1.69429919,,0.14695195,0.17028809,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165925_8746.jpg,BW,1784797165363,60683,1716.00000000,1716.00000000,333.34167480,2.21516370,,0.16021397,0.10437012,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165924_8745.jpg,BW,1784797164788,63763,1794.00000000,1794.00000000,350.26062012,1.69429919,,0.14027281,0.17028809,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165929_8753.jpg,BW,1784797169388,31311,74.00000000,74.00000000,171.99645996,12.96791478,,0.10157726,0.06042480,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165938_8769.jpg,BW,1784797178602,31310,73.00000000,73.00000000,171.99096680,12.97426353,,0.16504612,0.10986328,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165938_8769.jpg,BW,1784797178602,31326,312.00000000,312.00000000,172.07885742,11.44799954,,0.07706645,0.12634277,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165934_8762.jpg,BW,1784797174579,60684,1717.00000000,1717.00000000,333.34716797,2.20848809,,0.16021542,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165947_8785.jpg,BW,1784797187815,31327,315.00000000,315.00000000,172.08435059,11.42873161,,0.08350191,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165947_8785.jpg,BW,1784797187815,31181,5.00000000,5.00000000,171.28234863,13.40521073,,0.08857663,0.10437012,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165947_8785.jpg,BW,1784797187815,31311,78.00000000,78.00000000,171.99645996,12.94251658,,0.10794511,0.07141113,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165956_8801.jpg,BW,1784797197030,31311,74.00000000,74.00000000,171.99645996,12.96791478,,0.11427441,0.07141113,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165952_8794.jpg,BW,1784797193005,60684,1717.00000000,1717.00000000,333.34716797,2.20848809,,0.16021542,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_165952_8793.jpg,BW,1784797192428,63764,1792.00000000,1792.00000000,350.26611328,1.70765856,,0.12023176,0.15930176,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
